X,Y,OBJECTID,StopID,EasyGo,Street,CrossStreet,Easting,Northing,Longitude,Latitude,Municipality,CreateDate,EditDate,Status,GlobalID
557546.8568,4806712.9902,6068,13109,3975,Thompson Dr,Lingard Rd,557546.85681777,4806712.99018806,-80.28922006,43.41109352,Cambridge,2014/04/04 18:40:35+00,2019/01/18 13:15:00+00,Active,{621401C9-78B5-4510-9E22-9C3E01093BC4}
551013.6854,4805845.7673,6071,13049,3934,Fountain St N,Marmel Crt,551013.68543239,4805845.7672665,-80.36998921,43.40375819,Cambridge,2014/04/04 18:40:35+00,2019/01/08 14:38:44+00,Active,{FF526166-48C6-4885-9EDA-B3AD61E91B98}
557010.1348,4809930.1326,6072,10250,1241,Melran Dr,Alderson Dr,557010.1348,4809930.13263185,-80.29551294,43.44010084,Cambridge,2014/04/04 18:40:35+00,2019/01/18 14:15:27+00,Active,{DCF8F31A-E30D-4BF3-956E-677A710D2D30}
550461.8707,4807530.871,6074,11365,2315,Fountain St N,Toyota Gate #2,550461.87070074,4807530.87099462,-80.37664804,43.41896804,Cambridge,2014/04/04 18:40:35+00,2024/06/24 12:01:43+00,Active,{627E2D2D-5302-41D8-A381-635C275AC9C0}
534634.9291,4811242.8654,6075,12714,3691,Erbsville Rd,Path to Erbsville Crt,534634.92909241,4811242.86542889,-80.57191501,43.45328996,Waterloo,2014/04/04 18:40:35+00,2019/01/08 15:36:13+00,Active,{14C3D28A-515F-41FA-A792-3BA23EBF06A3}
538462.9056,4807639.4989,6076,12401,3337,McGarry Dr,Meadowbrook Dr,538462.90563581,4807639.49888373,-80.52485698,43.42065801,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:36:30+00,Active,{5644A9EF-1AD4-47A6-BF63-5E46A46415C7}
538900.9355,4809115.6832,6077,12236,3175,Highland Rd W,Fieldgate Dr,538897.60180956,4809116.31828141,-80.51938204,43.433933,Kitchener,2014/04/04 18:40:35+00,2019/01/08 14:35:55+00,Active,{F287DF04-B81B-430B-B646-7512445AB88C}
533882.3723,4812199.9064,6078,13193,4012,Columbia St W,Erbsville Rd,533882.083,4812200.447,-80.58116,43.461947,Waterloo,2014/04/04 18:40:35+00,2019/01/08 14:39:24+00,Active,{D94365D6-7FFB-40D4-949B-299197168007}
542539.6079,4810072.3201,6082,13803,1390,Borden Ave S,Charles St E,542539.502,4810072.426,-80.47431,43.442344,Kitchener,2017/08/24 13:00:15+00,2019/01/08 14:41:23+00,Active,{2B7DA10C-0C58-4855-AE2B-6FE18A981CB2}
536075.569,4809835.6963,6084,13238,4064,Portsmouth Gate,Westvale Dr,536075.238,4809836.027,-80.554206,43.440555,Waterloo,2014/04/04 18:40:35+00,2019/01/18 14:06:24+00,Active,{18279B25-C279-4BCC-BA21-229C087A739C}
